order_id,customer_id,order_date,total_amount
1,799,2024-11-28,4549.9
2,755,2024-12-10,3213.78
3,392,2024-06-04,227.44
4,205,2025-01-08,1107.98
5,286,2024-08-06,2698.29
6,360,2025-08-03,5356.85
7,112,2025-09-11,11736.65
8,195,2025-01-06,3102.27
9,373,2025-01-11,2535.94
10,520,2023-11-27,5098.7
11,568,2025-06-29,2818.6
12,694,2023-12-08,12237.53
13,622,2024-10-13,7925.8
14,291,2025-09-27,8724.37
15,151,2025-10-24,563.6
16,487,2024-02-14,10876.15
17,250,2024-09-06,920.72
18,798,2024-10-28,3324.73
19,125,2024-07-15,4769.01
20,628,2025-09-06,11588.07
21,785,2024-09-01,8497.44
22,554,2024-10-22,1299.6
23,237,2024-11-05,3835.1
24,556,2023-12-11,4128.26
25,784,2023-12-09,12661.07
26,618,2024-03-30,2938.34
27,498,2025-01-19,685.71
28,685,2025-04-09,4973.41
29,86,2025-09-12,9182.9
30,780,2025-07-11,9003.13
31,54,2024-07-06,1448.88
32,254,2025-10-01,2162.26
33,130,2025-05-15,4724.32
34,172,2024-03-20,7170.97
35,694,2024-11-29,3518.95
36,701,2024-10-13,8838.98
37,664,2024-02-26,4894.19
38,651,2024-07-13,9066.95
39,631,2025-05-22,10742.1
40,286,2024-09-11,9737.65
41,507,2024-11-26,8399.17
42,287,2025-06-29,3388.56
43,501,2024-02-06,8721.83
44,227,2025-01-28,7293.55
45,353,2025-04-21,6635.98
46,258,2024-11-29,1367.41
47,761,2025-04-09,5924.72
48,612,2025-01-17,4060.98
49,310,2025-04-29,2455.45
50,130,2025-01-05,1375.79
51,654,2025-01-31,3359.56
52,189,2024-11-12,3445.92
53,117,2024-11-17,48.6
54,76,2025-01-23,4219.46
55,783,2025-09-07,8246.48
56,454,2024-03-14,6400.93
57,625,2024-12-11,8464.0
58,3,2023-12-27,3643.57
59,720,2024-09-12,7667.82
60,558,2024-06-05,2302.24
61,74,2024-12-02,2308.41
62,610,2025-02-15,9173.32
63,449,2024-09-02,44.54
64,443,2025-03-07,12063.92
65,591,2025-04-22,623.44
66,482,2024-08-13,11253.66
67,357,2025-07-01,8997.27
68,296,2024-06-21,7141.43
69,674,2024-07-19,4939.83
70,779,2023-12-31,1690.68
71,563,2023-12-05,1589.36
72,125,2025-02-14,4646.85
73,246,2023-12-19,6550.71
74,511,2024-02-21,12427.02
75,196,2025-08-25,6239.32
76,290,2024-08-24,13828.42
77,387,2024-08-10,4978.42
78,45,2025-08-03,8104.38
79,508,2025-06-12,834.2
80,605,2025-02-09,5274.13
81,740,2023-12-04,1216.92
82,272,2025-06-30,1787.67
83,390,2025-10-06,2451.94
84,241,2025-03-13,3167.73
85,30,2024-08-05,807.74
86,301,2024-09-04,8026.04
87,580,2024-01-28,8408.56
88,473,2024-10-11,6945.7
