order_item_id,order_id,product_id,quantity
1,1,105,5
2,1,192,2
3,1,61,2
4,1,46,4
5,1,7,2
6,2,106,2
7,2,69,2
8,2,180,1
9,3,121,2
10,4,90,3
11,4,59,2
12,4,7,2
13,4,103,3
14,5,198,3
15,6,131,4
16,6,174,5
17,6,85,1
18,6,30,3
19,6,46,5
20,6,68,1
21,7,112,3
22,7,187,3
23,7,112,5
24,7,131,1
25,7,99,5
26,8,12,4
27,8,1,5
28,8,138,2
29,9,18,3
30,9,160,3
31,9,170,1
32,9,185,3
33,10,171,4
34,10,84,4
35,10,179,3
36,11,50,4
37,11,171,4
38,12,45,5
39,12,146,3
40,12,104,5
41,12,1,3
42,12,74,2
43,12,111,5
44,13,83,4
45,13,114,4
46,13,173,2
47,13,131,4
48,13,189,2
49,13,169,1
50,14,170,5
51,14,86,1
52,14,193,2
53,14,173,3
54,14,58,2
55,15,12,2
56,16,197,1
57,16,117,4
58,16,162,5
59,16,50,4
60,16,127,4
61,17,168,1
62,17,193,1
63,18,57,2
64,18,179,5
65,18,119,1
66,18,143,2
67,19,35,4
68,19,171,5
69,19,144,5
70,19,82,4
71,20,130,4
72,20,141,4
73,20,41,4
74,20,116,3
75,20,193,2
76,20,164,3
77,21,125,2
78,21,71,4
79,21,20,3
80,21,61,3
81,21,86,3
82,22,36,2
83,23,178,2
84,23,181,2
85,23,17,4
86,23,105,3
87,24,107,1
88,24,53,4
89,24,100,5
90,24,179,1
91,25,98,4
92,25,2,3
93,25,77,4
94,25,108,5
95,25,192,5
96,26,125,2
97,26,70,4
98,27,100,3
99,28,104,2
100,28,120,2
101,28,160,5
102,28,7,4
103,28,152,5
104,28,170,1
105,29,110,2
106,29,119,2
107,29,13,3
108,29,98,3
109,29,55,4
110,29,84,3
111,30,72,4
112,30,65,1
113,30,121,1
114,30,192,5
115,31,58,1
116,31,200,1
117,31,194,1
118,32,6,5
119,32,40,2
120,33,172,1
121,33,145,2
122,33,120,3
123,33,197,3
124,34,156,1
125,34,200,2
126,34,80,1
127,34,149,1
128,34,80,5
129,35,102,2
130,35,20,5
131,35,177,2
132,35,27,3
133,36,31,5
134,36,11,3
135,36,137,4
136,36,170,3
137,36,18,5
138,37,4,4
139,37,126,1
140,37,111,3
141,38,182,2
142,38,112,2
143,38,188,5
144,38,167,3
145,39,199,4
146,39,120,4
147,39,188,5
148,39,69,3
149,39,63,1
150,40,63,4
151,40,146,5
152,40,172,4
153,40,87,1
154,41,47,4
155,41,55,3
156,41,67,3
157,42,180,3
158,42,143,1
159,42,133,2
160,42,22,2
161,42,185,4
162,43,195,2
163,43,177,4
164,43,166,4
165,43,115,1
166,43,24,3
167,44,178,2
168,44,79,5
169,44,95,4
170,44,142,5
171,45,191,5
172,45,85,3
